dict,dim_id,dim_name,options_available
MCI,18,Verb-class marker style,roman|arabic|sanskrit
MCI,19,Etymology presence,none|partial|full
MCI,20,Cross-reference syntax,explicit|k1|italic|absent
MCI,21,Loanword marker,tagged|untagged
MCI,23,Vedic-only marker,flagged|unflagged
KNA,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
KNA,2,Duplication after r,opt1|opt2
KNA,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
KNA,4,Inflected vs uninflected headword form,inflected|uninflected
KNA,5,Anusvāra of verbs,present|absent
KNA,6,ṛkārānta words,opt1|opt2|opt3
KNA,7,vas/yas suffixes,opt1|opt2|opt3|opt4
KNA,8,Sandhi handling at compound boundary,preserved|split|both
KNA,15,Citation format style,abbreviated|full|sanskrit
KNA,16,Mahābhārata edition reference,pune|critical
KNA,18,Verb-class marker style,roman|arabic|sanskrit
KNA,19,Etymology presence,none|partial|full
KNA,20,Cross-reference syntax,explicit|k1|italic|absent
KNA,21,Loanword marker,tagged|untagged
KNA,23,Vedic-only marker,flagged|unflagged
KOW,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
KOW,2,Duplication after r,opt1|opt2
KOW,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
KOW,4,Inflected vs uninflected headword form,inflected|uninflected
KOW,5,Anusvāra of verbs,present|absent
KOW,6,ṛkārānta words,opt1|opt2|opt3
KOW,7,vas/yas suffixes,opt1|opt2|opt3|opt4
KOW,8,Sandhi handling at compound boundary,preserved|split|both
KOW,15,Citation format style,abbreviated|full|sanskrit
KOW,16,Mahābhārata edition reference,pune|critical
KOW,18,Verb-class marker style,roman|arabic|sanskrit
KOW,19,Etymology presence,none|partial|full
KOW,20,Cross-reference syntax,explicit|k1|italic|absent
KOW,21,Loanword marker,tagged|untagged
KOW,23,Vedic-only marker,flagged|unflagged
AMAR,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
AMAR,2,Duplication after r,opt1|opt2
AMAR,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
AMAR,4,Inflected vs uninflected headword form,inflected|uninflected
AMAR,5,Anusvāra of verbs,present|absent
AMAR,6,ṛkārānta words,opt1|opt2|opt3
AMAR,7,vas/yas suffixes,opt1|opt2|opt3|opt4
