from,to,unit,layer,count
1,6,digit,git,13
6,1,digit,git,13
m,̃,diacritic,git,13
1,9,digit,git,13
w,"""",consonant,git,13
°,w,punctuation,git,13
b,r,consonant,git,13
t,त,consonant,git,13
̈,̀,diacritic,git,13
 ,t,whitespace,form,12
y,m,consonant,form,12
n,a,consonant,form,12
̣,́,diacritic,form,12
 ,o,whitespace,form,12
e,t,vowel,form,12
e,̄,diacritic,form,12
r,̣,diacritic,form,12
̣,g,diacritic,form,12
n,e,consonant,form,12
3,a,digit,form,12
],e,punctuation,form,12
̄,n,diacritic,form,12
P,̣,diacritic,form,12
o,O,case,git,12
z,s,consonant,git,12
e,t,vowel,git,12
l,d,consonant,git,12
̀,̂,diacritic,git,12
h,b,consonant,git,12
i,u,vowel,git,12
a,t,vowel,git,12
i,m,vowel,git,12
o,c,vowel,git,12
f,U,consonant,git,12
R,f,consonant,git,12
I,̄,diacritic,git,12
?,s,punctuation,git,12
y,T,consonant,git,12
b,p,consonant,git,12
i,s,vowel,git,12
N, ,consonant,git,12
D,o,consonant,git,12
6,5,digit,git,12
",",7,punctuation,git,12
T,y,consonant,git,12
4,0,digit,git,12
¤,᳭,diacritic,git,12
h,#,consonant,git,12
w,},consonant,git,12
n,<,consonant,git,12
¦,>,punctuation,git,12
e,æ,vowel,git,12
I,A,vowel,git,12
k,z,consonant,git,12
/,D,punctuation,git,12
a,म,vowel,git,12
r,i,consonant,form,11
o,r,vowel,form,11
h,b,consonant,form,11
d,r,consonant,form,11
h,k,consonant,form,11
l,a,consonant,form,11
j,c,consonant,form,11
a,t,vowel,form,11
l, ,consonant,form,11
A,a,case,form,11
E,O,vowel,form,11
y,v,consonant,form,11
t,y,consonant,form,11
c,v,consonant,form,11
m,y,consonant,form,11
i,r,vowel,form,11
H,̣,diacritic,form,11
̄,C,diacritic,form,11
G,̇,diacritic,form,11
",",c,punctuation,form,11
",",h,punctuation,form,11
̄, ,diacritic,form,11
1, ,digit,form,11
̄,B,diacritic,form,11
̄,E,diacritic,form,11
h,H,case,git,11
a,U,vowel,git,11
s,d,consonant,git,11
t,k,consonant,git,11
x,s,consonant,git,11
 ,%,whitespace,git,11
u,i,vowel,git,11
p,z,consonant,git,11
o,-,vowel,git,11
f,r,consonant,git,11
s,l,consonant,git,11
y,i,consonant,git,11
