control,dict,cv,kbar,n_true,gamma_analytic,gamma_emp,median,p25,p75,rel_bias,bias_predicted,coverage,envelope_recovery,n_reps,passes,family,cv_realised,gamma_identity,implied_n1,implied_n2,observed_n1,observed_n2,gamma_sequential,gamma_heterogeneity,gamma_naive_product,product_error
E mechanism composition,pw,1.0,2.5,67852,1.785289507218411,1.7880936859545806,37930.26702315437,37444.11656441718,38457.84003741815,-0.44098527643762353,-0.4398667577685703,0.0,,400,1,,,,,,,,0.8926447536092076,2.0,1.7852895072184152,4.218847493575595e-15
E mechanism composition,pw,0.85,4.0,67852,1.5870598203361164,1.5854146160907954,42790.583050954425,42417.082693947144,43203.99610220875,-0.36935413766794756,-0.36990402807361444,0.0,,400,1,,,,,,,,0.9801725987182208,1.7225,1.6883473012921353,0.10128748095601892
E mechanism composition,mw,0.5,1.5,60997,0.7205815870599509,0.7197974655815297,84360.07628940724,80643.30434782608,88796.0725388601,0.3830200876995138,0.3877679057552743,0.0,,400,1,,,,,,,,0.5828116438658065,1.25,0.7285145548322581,0.007932967772307231
E mechanism composition,mw,0.85,1.5,60997,0.9951490768255744,0.998367542965604,60896.744722089694,58820.602316602315,63175.953125,-0.001643609979348315,0.0048745693357818975,0.9425,,400,1,,,,,,,,0.5828116438658065,1.7225,1.0038930565588517,0.00874397973327734
E mechanism composition,mw,0.5,2.5,60997,1.091441607980652,1.0929297685818329,55754.96417081578,54757.45805592543,57188.96570644719,-0.08593924011318954,-0.08378057727690447,0.2125,,400,1,,,,,,,,0.8926447536092061,1.25,1.1158059420115076,0.024364334030855694
E mechanism composition,mw,1.0,2.5,60997,1.7852895072184087,1.786207555003413,34129.758349635784,33576.57699443414,34683.11657559199,-0.44046824680499397,-0.43986675776856954,0.0,,400,1,,,,,,,,0.8926447536092061,2.0,1.7852895072184123,3.552713678800501e-15
E mechanism composition,mw,0.85,4.0,60997,1.6380017287019664,1.6373004330787433,37246.76387137061,36835.96118621893,37645.866724361746,-0.3893672824668326,-0.38950003380494014,0.0,,400,1,,,,,,,,0.9801725987182202,1.7225,1.6883473012921342,0.05034557259016781
E mechanism composition,cae,0.5,1.5,40069,0.720777628434635,0.7017819007502968,54788.280303030304,48244.2962962963,62950.0,0.36734833170356884,0.3873904524087026,0.875,,400,1,,,,,,,,0.5828116438658394,1.25,0.7285145548322992,0.007736926397664212
E mechanism composition,cae,0.85,1.5,40069,0.995391721423957,0.981909504175455,39549.583333333336,35166.5,44607.846153846156,-0.012963055396108314,0.004629613123013021,0.93,,400,1,,,,,,,,0.5828116438658394,1.7225,1.0038930565589084,0.008501335134951327
E mechanism composition,cae,0.5,2.5,40069,1.0981591757439915,1.0836421380815275,36628.31593406593,34036.25806451613,38723.13333333333,-0.08586897766188495,-0.08938519835022063,0.755,,400,1,,,,,,,,0.8926447536092199,1.25,1.115805942011525,0.017646766267533476
E mechanism composition,cae,1.0,2.5,40069,1.7852895072183856,1.7740974235097515,22455.63957428783,21236.432432432433,23603.73282442748,-0.43957574248701414,-0.4398667577685623,0.0,,400,1,,,,,,,,0.8926447536092199,2.0,1.7852895072184398,5.417888360170764e-14
E mechanism composition,cae,0.85,4.0,40069,1.6576636163195986,1.661487692958366,24063.513005270688,23360.14457831325,24925.241379310344,-0.39944812684941755,-0.39674129892514975,0.0,,400,1,,,,,,,,0.9801725987182244,1.7225,1.6883473012921415,0.030683684972542924
E mechanism composition,bur,0.5,1.5,17247,0.718042556727294,0.7211870121582049,23581.18028846154,21869.847222222223,25669.24193548387,0.3672627290810888,0.39267511463083227,0.27,,400,1,,,,,,,,0.582811643865811,1.25,0.7285145548322637,0.010471998104969682
E mechanism composition,bur,0.85,1.5,17247,0.9922624013838712,0.9890866406853989,17264.04941860465,16097.626373626374,18541.379746835442,0.000988544013721171,0.007797935914267695,0.94,,400,1,,,,,,,,0.582811643865811,1.7225,1.0038930565588593,0.01163065517498807
E mechanism composition,bur,0.5,2.5,17247,1.0892632052530056,1.0904287704157969,15771.143865614014,15183.0,16366.139344262296,-0.08557175940082251,-0.08194824246566945,0.585,,400,1,,,,,,,,0.8926447536092093,1.25,1.1158059420115116,0.026542736758506047
E mechanism composition,bur,1.0,2.5,17247,1.7852895072184078,1.7852382284816277,9643.683150431287,9373.58217270195,9924.459610027856,-0.440848660611626,-0.4398667577685693,0.0,,400,1,,,,,,,,0.8926447536092093,2.0,1.7852895072184185,1.0658141036401503e-14
E mechanism composition,bur,0.85,4.0,17247,1.6382264272464717,1.6389008546455477,10516.125227950928,10325.757281553399,10679.845177664974,-0.3902635108743011,-0.38958376975959397,0.0,,400,1,,,,,,,,0.9801725987182232,1.7225,1.6883473012921393,0.05012087404566756
